station id,water year,year,month,day,daily rain,code
200,1952,1951,9,17,0.01,E311
200,1952,1951,10,24,0.3,E311
200,1952,1951,11,19,0.81,E311
200,1952,1951,11,20,0.16,E311
200,1952,1951,11,21,0.19,E311
200,1952,1951,12,1,1.25,E311
200,1952,1951,12,3,0.49,E311
200,1952,1951,12,4,0.69,E311
200,1952,1951,12,11,0.16,E311
200,1952,1951,12,12,0.7,E311
200,1952,1951,12,18,0.07,E311
200,1952,1951,12,19,0.05,E311
200,1952,1951,12,28,0.2,E311
200,1952,1951,12,29,1.4,E311
200,1952,1951,12,30,0.48,E311
200,1952,1952,1,6,0.58,E311
200,1952,1952,1,7,0.02,E311
200,1952,1952,1,8,0.07,E311
200,1952,1952,1,11,0.12,E311
200,1952,1952,1,12,1.32,E311
200,1952,1952,1,13,0.33,E311
200,1952,1952,1,14,0.68,E311
200,1952,1952,1,15,3.11,E311
200,1952,1952,1,16,0.12,E311
200,1952,1952,1,17,1.41,E311
200,1952,1952,1,18,0.53,E311
200,1952,1952,1,24,0.74,E311
200,1952,1952,1,25,0.38,E311
200,1952,1952,2,11,0.09,E311
200,1952,1952,2,29,0.6,E311
200,1952,1952,3,1,0.12,E311
200,1952,1952,3,3,0.07,E311
200,1952,1952,3,4,0.04,E311
200,1952,1952,3,6,1.15,E311
200,1952,1952,3,7,0.43,E311
200,1952,1952,3,8,0.11,E311
200,1952,1952,3,10,0.15,E311
200,1952,1952,3,12,0.25,E311
200,1952,1952,3,14,1.36,E311
200,1952,1952,3,15,2.74,E311
200,1952,1952,3,16,0.1,E311
200,1952,1952,3,18,0.26,E311
200,1952,1952,3,19,0.01,E311
200,1952,1952,4,7,0.76,E311
200,1952,1952,4,10,0.28,E311
200,1952,1952,4,25,0.45,E311
200,1952,1952,4,26,0.02,E311
200,1952,1952,6,5,0.01,E311
200,1952,1952,6,6,0.01,E311
200,1953,1952,10,17,0.02,E311
200,1953,1952,10,22,0.02,E311
200,1953,1952,11,14,1.46,E311
200,1953,1952,11,15,1.92,E311
200,1953,1952,11,16,0.01,E311
200,1953,1952,11,29,0.61,E311
200,1953,1952,11,30,0.02,E311
200,1953,1952,12,1,0.6,E311
200,1953,1952,12,5,0.13,E311
200,1953,1952,12,7,0.39,E311
200,1953,1952,12,19,1.07,E311
200,1953,1952,12,20,0.27,E311
200,1953,1952,12,27,1.1,E311
200,1953,1952,12,28,0.35,E311
200,1953,1952,12,30,0.89,E311
200,1953,1953,1,6,0.26,E311
200,1953,1953,1,7,0.18,E311
200,1953,1953,1,8,0.27,E311
200,1953,1953,1,13,1.03,E311
200,1953,1953,1,14,0.01,E311
200,1953,1953,3,10,0.17,E311
200,1953,1953,3,19,0.43,E311
200,1953,1953,4,19,0.29,E311
200,1953,1953,4,20,0.03,E311
200,1953,1953,4,21,0.01,E311
200,1953,1953,4,26,0.02,E311
200,1953,1953,4,27,0.8,E311
200,1953,1953,5,27,0.03,E311
200,1953,1953,6,17,0.04,E311
200,1954,1953,11,4,0.02,E311
200,1954,1953,11,5,0.17,E311
200,1954,1953,11,10,0.03,E311
200,1954,1953,11,13,0.02,E311
200,1954,1953,11,14,2.17,E311
200,1954,1953,11,20,0.01,E311
200,1954,1953,12,4,0.03,E311
200,1954,1954,1,11,0.19,E311
200,1954,1954,1,12,0.78,E311
200,1954,1954,1,17,0.33,E311
200,1954,1954,1,18,0.53,E311
200,1954,1954,1,19,1.54,E311
200,1954,1954,1,20,0.03,E311
200,1954,1954,1,23,0.18,E311
200,1954,1954,1,24,1.25,E311
200,1954,1954,1,25,0.1,E311
200,1954,1954,2,12,0.02,E311
200,1954,1954,2,13,1.79,E311
200,1954,1954,2,14,0.22,E311
200,1954,1954,2,17,0.25,E311
200,1954,1954,3,9,0.03,E311
200,1954,1954,3,16,0.82,E311
200,1954,1954,3,17,0.23,E311
200,1954,1954,3,19,1.36,E311
200,1954,1954,3,20,0.12,E311
200,1954,1954,3,24,0.15,E311
200,1954,1954,3,25,0.02,E311
200,1954,1954,3,29,1.06,E311
200,1954,1954,3,30,0.27,E311
200,1954,1954,4,19,0.01,E311
200,1954,1954,4,23,0.02,E311
200,1954,1954,4,27,0.36,E311
200,1954,1954,5,8,0.01,E311
200,1954,1954,5,9,0.02,E311
200,1954,1954,5,15,0.01,E311
200,1954,1954,6,3,0.01,E311
200,1954,1954,8,24,0.01,E311
200,1955,1954,11,10,0.21,E311
200,1955,1954,11,11,0.6,E311
200,1955,1954,11,15,0.8,E311
200,1955,1954,12,3,1.79,E311
200,1955,1954,12,4,0.15,E311
200,1955,1954,12,9,1.11,E311
200,1955,1955,1,1,0.76,E311
200,1955,1955,1,3,0.02,E311
200,1955,1955,1,5,0.02,E311
200,1955,1955,1,6,0.01,E311
200,1955,1955,1,9,0.72,E311
200,1955,1955,1,10,0.18,E311
200,1955,1955,1,15,0.07,E311
200,1955,1955,1,16,0.48,E311
200,1955,1955,1,18,1.5,E311
200,1955,1955,1,30,0.6,E311
200,1955,1955,1,31,0.01,E311
200,1955,1955,2,16,1.44,E311
200,1955,1955,2,17,0.1,E311
200,1955,1955,2,25,0.04,E311
200,1955,1955,2,26,0.08,E311
200,1955,1955,2,27,0.85,E311
200,1955,1955,3,10,0.14,E311
200,1955,1955,3,11,0.65,E311
200,1955,1955,4,4,0.02,E311
200,1955,1955,4,21,1.43,E311
200,1955,1955,4,22,0.01,E311
200,1955,1955,4,25,0.11,E311
200,1955,1955,4,26,0.03,E311
200,1955,1955,4,29,0.26,E311
200,1955,1955,4,30,1.4,E311
200,1955,1955,5,6,0.21,E311
200,1955,1955,5,7,0.01,E311
200,1955,1955,5,12,0.01,E311
200,1955,1955,5,30,0.01,E311
200,1955,1955,6,14,0.01,E311
200,1956,1955,11,13,0.81,E311
200,1956,1955,11,14,0.15,E311
200,1956,1955,11,16,0.18,E311
200,1956,1955,11,17,0.06,E311
200,1956,1955,11,21,0.16,E311
200,1956,1955,12,1,0.25,E311
200,1956,1955,12,3,0.14,E311
200,1956,1955,12,4,0.27,E311
200,1956,1955,12,6,0.07,E311
200,1956,1955,12,22,0.06,E311
200,1956,1955,12,23,0.59,E311
200,1956,1955,12,24,2.17,E311
200,1956,1955,12,25,1.05,E311
200,1956,1955,12,26,0.9,E311
200,1956,1955,12,30,0.21,E311
200,1956,1955,12,31,0.15,E311
200,1956,1956,1,22,0.04,E311
200,1956,1956,1,23,0.02,E311
200,1956,1956,1,25,3.61,E311
200,1956,1956,1,26,2.6,E311
200,1956,1956,1,30,0.36,E311
200,1956,1956,1,31,0.05,E311
200,1956,1956,2,22,0.29,E311
200,1956,1956,2,23,0.7,E311
200,1956,1956,2,24,0.06,E311
200,1956,1956,4,1,0.13,E311
200,1956,1956,4,10,0.03,E311
200,1956,1956,4,11,0.96,E311
200,1956,1956,4,12,0.14,E311
200,1956,1956,4,13,0.2,E311
200,1956,1956,4,25,0.29,E311
200,1956,1956,4,26,0.16,E311
200,1956,1956,5,4,0.01,E311
200,1956,1956,5,8,0.41,E311
200,1956,1956,5,9,0.52,E311
200,1956,1956,5,17,0.04,E311
